clusec,1.333224E-06,pascal cu. metre per sec.
cords,8,cord feet
cords,3.624556,cubic metres
cord feet,16,cu. feet
coulomb,3000000000,statcoulombs
coulombs,1.04E-05,faradays
coulombs/sq. cm,64.52,coulombs/sq. in
coulombs/sq. cm,10000,coulombs/sq. metre
coulombs/sq. in,0.155,coulombs/sq. cm
coulombs/sq. in,1550,coulombs/sq. metre
coulombs/sq. metre,0.0001,coulombs/sq. cm
coulombs/sq. metre,0.0006452,coulombs/sq. in
cubic centimetre ( cu.cm. ),3.53E-05,cu. foot
cubic centimetre,0.06102374,cu. inch
cubic centimetre,1E-06,cu. metre
cubic centimetre,1000,cu. millimetre
cubic centimetre,1.31E-06,cu. yard
cubic centimetre,0.2815606,drachm (Brit. fluid)
cubic centimetre,0.2705122,dram (U.S. fluid)
cubic centimetre,0.00022,gallon (Brit liq.)
cubic centimetre,0.000264,gallon (US liq.)
cubic centimetre ( cc ),0.001,litre ( to hp )
cubic centimetre,0.002113,pint (US liq.)
cubic centimetre,0.001057,quart (US liq.)
cubic feet ( cu.ft. ),0.8036,bushels (dry)
cubic feet ( ft3 ),28320,cu. cm
cubic feet ( ft^3 ),1728,cu. inches
cubic feet,0.02831685,cu. metres
cubic feet,0.037037037,cu. yards
cubic feet,7.48052,gallons (US liq.)
cubic feet,28.32,litres
cubic feet,59.84,pints (US liq.)
cubic feet,29.92,quarts (US liq)
cubic feet/min ( cfm ),472,cu. cm/sec
cubic feet/min ( ft3/min ),0.1247,gallons/sec
cubic feet/min,0.4719474,litres/sec
cubic feet/min,62.43,pounds of water/min
cubic feet/sec,0.646317,million gals./day
cubic feet/sec,448.831,gallons/min
cubic inches ( cu.in. ),16.387,cu. cm ( cc ) ( to hp)
cubic inches,0.0005787,cu. feet
cubic inches,1.6387064E-05,cu. metres
cubic inches,2.14E-05,cubic yards
cubic inches,0.004329,gallons
cubic inches,106100,mil-feet
cubic inches,0.03463,pints (US liq.)
cubic inches,0.01732,quarts (US liq.)
cubic inches per minute,2.731177E-07,cu. metres/ second
cubic metres ( cu.m. ),28.38,bushels (dry)
cubic metres,1000000,cubic cm
cubic metres,35.31,cubic feet
cubic metres,61023,cubic inches
cubic metres,1.307951,cubic yards
cubic metres,264.2,gallons (US liq.)
cubic metres,1000,litres
cubic metres,2113,pints (US liq.)
cubic metres,1057,quarts (US liq.)
cubic miles,4168182000,cubic metres
cubic yards ( cu.yd. ),764600,cubic cms
cubic yards ( yd3 ),27,cubic feet
cubic yards,46656,cubic inches
cubic yards,0.7645549,cubic metres
cubic yards,202,gallons (US liq.)
cubic yards,764.6,litres
cubic yards,1615.9,pints (US liq.)
cubic yards,807.9,quarts (US liq.)
cubic yards/min,0.45,cubic feet/sec
cubic yards/min,3.367,gallons/sec
cubic yards/min,12.74,litres/sec
cubic yards/min,0.01274258,cubic metres/ sec
cup (USA),236.5882,cubic cm
cup (UK),0.0002841306,cu. metre
curie (Ci),37000000000,becquerel (Bq)
cusec hour,101.9407,cu. metre
darcy,9.869233E-13,square metres
days (mean solar),86400,seconds
days (sidereal) (more on time),86164.09,seconds
debye,3.335641E-30,coulomb metre
decigrams,0.1,grams
decilitres,0.1,litres
decimetres,0.1,metres
degrees Fahrenheit,-32 x 0.55555,degrees Celsius
degrees (angle),0.01111,quadrants
degrees (angle),0.01745329,radians
degrees (angle),3600,seconds
degrees/sec,0.01745,radians/sec
degrees/sec,0.1667,revolutions/min
degrees/sec,0.002778,revolutions/sec
dekagrams,10,grams
dekalitres,10,litres
dekametres,10,metres
denier,0.0001111111,gram per metre
denier,1,gram per 9000 metre
dioptre,1,per metre
drachm (fluid) (UK) ( medical ),0.003551633,cu. metre
drams(apoth. or troy),0.1371429,ounces(avoirdupois)
drams(apoth. or troy),0.125,ounces (troy)
drams(US fluid or apoth.),3.6967,cubic cm
drams,27.3437,grains
drams,1.7718,grams
drams,0.0625,ounces
drill size,see table,tap thread
drops (also see kitchen),0.01666,teaspoons US
dyne/cm,0.01,erg/sq. millimetre
dyne/sq. cm,9.87E-07,atmospheres
dyne/sq. cm,2.95E-05,inch of mercury at 0°C
dyne/sq. cm,0.0004015,inch of water at 4°C
dynes,0.00102,grams
dynes,1E-07,joules/cm
dynes,1E-05,joules/metre (newtons)
dynes,1.02E-06,kilograms
dynes,7.23E-05,poundals
dynes,2.25E-06,pounds
dyne cm,1E-07,newton metre
dyne per sq. cm,0.1,pascal (Pa)
dynes/sq. cm,1E-06,bars
electromagnetic unit of capacitance,1000000000,farad (F)
electromagnetic unit of charge,10,coulomb (C)
electromagnetic unit of current,10,ampere (A)
electromagnetic unit of inductance,1E-09,henry (H)
electromagnetic unit of potential,1E-08,volt (V)
electromagnetic unit of resistance,1E-09,ohm ()
electronvolt,1.6021917E-19,joule (J)
electrostatic unit of capacitance,1.112649E-12,farad
electrostatic unit of charge (franklin),3.33564E-10,coulomb
electrostatic unit of current,3.33564E-10,ampere
electrostatic unit of inductance,898755431000,henry
electrostatic unit of potential,299.7925,volt
electrostatic unit of resistance,898755431000,ohm
ell,114.3,cm
ell,45,inches
em (pica),0.167,inch
em (pica),0.4233,cm
"envelopes, sheet paper",see table,metric/UK/US
erg/sec,1,dyne-cm/sec
ergs,9.48E-11,Btu
ergs,1,dyne-centimetres
ergs,7.37E-08,foot-pounds
ergs,2.39E-08,gram-calories
ergs,0.00102,grams-cm
ergs,3.73E-14,horsepower-hrs
ergs,1E-07,joules
ergs,2.39E-11,kg-calories
ergs,1.02E-08,kg-metres
ergs,2.78E-14,kilowatt-hrs
ergs,2.78E-11,watt-hrs
ergs/sec,5.69E-06,Btu/min
ergs/sec,4.43E-06,ft-lbs/min
ergs/sec,7.38E-08,ft-lbs/sec
ergs/sec,1.34E-10,horsepower
ergs/sec,1.43E-09,kg-calories/min
ergs/sec,1E-07,watts
fahrenheit (°F),-32 x 0.55555,celsius (°C)
farads,1E-06,microfarads
farad (international of 1948),0.999505,farad
faraday/sec,96500,ampere (absolute)
faradays,26.8,ampere-hours
faraday (based on carbon- 12),96485.31,coulomb
faraday (chemical),96495.7,coulomb per mole
faraday (physical),96521.9,coulomb per mole
fathoms,1.828804,metre
fathoms,6,feet
fathoms,15,shackle
feet (ft.),30.48,centimetres
feet,0.0003048,kilometres
"feet, inches, fractions",calculator here,"metres, cm, mm"
feet (English Imperial),0.3048,metres
feet (US survey),0.3048006,metres
feet (Cape),0.3148581,metres
feet (geodetic Cape),0.314855575,metres
feet,0.0001645,miles (naut.)
feet,0.0001894,miles (stat.)
feet,304.8,millimetres
feet,12000,mils
feet of water,0.0295,amospheres
feet of water,0.8826,in. of mercury
feet of water,0.03048,kgs/sq. cm
feet of water,304.8,kgs/sq. metre
feet of water,62.43,pounds/sq. ft
feet of water,0.4335,pounds/sq. in
feet/min (fpm),0.508,cms/sec
feet/min,0.01667,feet/sec
feet/min,0.01829,kms/hr
feet/min,0.3048,metres/min
feet/min,0.01136,miles/hr
feet/sec,30.48,cms/sec
feet/sec,1.097,kms/hr
feet/sec,0.5921,knots
feet/sec,18.29,metres/min
feet/sec,0.6818,miles/hr
feet/sec,0.01136,miles/min
feet/sec/sec,30.48,cms/sec/sec
feet/sec/sec,1.097,kms/hr/sec
feet/sec/sec,0.3048,meters/sec/sec
feet/sec/sec,0.6818,miles/hr/sec
feet/100 feet,1,percent grade
fermi,1E-15,metre
foot (ft. - singular of feet),0.3048,metre
foot (Cape),0.3148581,metre
foot (geodetic Cape),0.314855575,metre
foot (South African geodetic),0.304797265,metre
foot-candle,10.76391,lumen/sq. metre
foot lambert,3.426259,candela per sq. metre
foot-pounds,0.001286,Btu
foot-pounds,13600000,ergs
foot-pounds,0.3238,gram-calories
foot-pounds,5.05E-07,hp-hrs
foot-pounds,1.355818,joules
foot-pounds,0.000324,kg-calories
foot-pounds,0.1383,kg-metres
foot-pounds,3.77E-07,kilowatt-hrs
foot-pounds/min,0.001286,Btu/min
foot-pounds/min,0.01667,foot-pounds/sec
foot-pounds/min,3.03E-05,horsepower
foot-pounds/min,0.000324,kg-calories/min
foot-pounds/min,0.0226,watts
foot-pounds/sec,4.6263,Btu/hr
foot-pounds/sec,0.07717,Btu/min
foot-pounds/sec,0.000818,horsepower
foot-pounds/sec,1.01945,kg-calories/min
foot-pounds/sec,1.355818,watts
footE+04 (second moment of area),0.008630975,metre to the fourth power
franklin (Fr),3.3356641E-10,coulomb (C)
frigorie,1.162639,watt
furlongs,0.125,miles (US)
furlongs,40,rods
furlongs,660,feet
ft,1,foot or feet
gal,0.01,metre per sec sq.
gallons (Imperial),0.00454609,cubic metres
gallons (Imperial),4.54609,litres
gallons (US),3785.412,cubic cm (cc)
gallons (US),0.1337,cubic feet
gallons (US),231,cu. inches
gallons (US),0.003785,cu. metres
gallons (US),0.004951,cu. yards
gallons (US),3.785412,litres
gallons (liq. British imp.),1.20094,gallons (US liq.)
gallons (US),0.83267,gallons (imp.)
gallons (US) of water,8.3453,pounds of water
gallons (Imperial) of water,10,pounds of water
gallons(US)/min,0.002228,cu. ft/sec
gallons(US)/min,0.0630902,litres/sec
gallons(Imperial)/min,0.07577,litres/sec
gallons(US)/min,8.0208,cu. feet/hr
gamma (magnetic induction),1E-09,tesla ( T )
gamma (mass),1E-09,kilogram
gauge (sheet metal),see table,mm thick
gauge (wire - SWG to AWG),see table,inches diameter
gauss,0.0001,tesla
gauss,6.452,lines/sq. inch
gauss,1E-08,webers/sq. cm
gauss,6.45E-08,webers/sq. inch
gauss,0.0001,webers/sq. metre
gilberts,0.7957747,ampere-turns
gilberts/cm,0.7958,amp-turns/cm
gilberts/cm,2.021,amp-turns/in
gilberts/cm,79.581,amp-turns/metre
gills (British),142.0653,cubic cm
gills (US),0.1183,litres
gills (US),0.25,pints (liq.)
gon or grade,0.01570796,radian (pi/200)
grains ( see medical page ),0.03657143,drams (avoirdupois)
grains (troy),1,grains (avoirdupois)
grains (troy),0.06479891,grams
grains (troy),0.0020833,ounces (avoirdupois)
grains (troy),0.04167,pennyweight (troy)
grains/US gallon,17.118,parts/million
grains/Imperial gallon,14.2538,parts/million
grains/US gallon,142.86,pounds/million
grains/imp. gallon,14.286,gal parts/million
grams,5,carat (metric)
grams,0.56438339,dram
grams,980.7,dynes
grams,15.43,grains
grams,9.81E-05,joules/cm
grams,0.00981,joules/metre (newtons)
grams,0.001,kilograms
grams,1000,milligrams
grams,0.035273962,ounces(avoirdupois)
grams,0.032150747,ounces (troy)
grams,0.07093,poundals
grams,0.002204623,pounds
grams/cm,0.0056,pounds/inch
grams/cu. cm,62.43,pounds/cu. ft
grams/cu. cm,0.03613,pounds/cu. in
grams/cu. cm,3.41E-07,pounds/mil-foot
grams/litre,58.417,grains/gal (US)
grams/litre,8.345,pounds/1000 gal
grams/litre,0.062427,pounds/cu. ft
grams/litre,1000,parts/million
grams/sq. cm,2.0481,pounds/sq. ft
grams force/sq.cm,98.0665,pascal
gram-calories,0.0039683,Btu
gram-calories,4.19E-07,ergs
gram-calories,3.088,foot-pounds
gram-calories,1.56E-06,horsepower-hrs
gram-calories,1.16E-06,kilowatt-hrs
gram-calories,0.001163,watt-hrs
gram-calories/sec,14.286,Btu/hr
gram-calories,9.3E-08,Btu
gram-centimetres,980.7,ergs
gram-centimetres,980700,joules
gram-centimetres,234000000,kg-cal
gram-centimetres,100000,kg-metres
hand,10.16,cm
hectares (10000 sq.m),2.471,acres
hectares,107600,sq. feet
hectograms,100,grams
hectolitres,100,litres
hectometres,100,metres
hectowatts,100,watts
henries,1000,millihenries
hogsheads (British),10.114,cubic feet
hogsheads (U.S.),8.42184,cubic feet
hogsheads (U.S.),63,gallons (U.S.)
horsepower,42.44,Btu/min
horsepower,33000,foot-lbs/min
horsepower,550,foot-lbs/sec
horsepower (metric),0.9863,horsepower
horsepower,10.68,kg-calories/min
horsepower,0.7457,kilowatts
horsepower (boiler),33479,Btu/hr
horsepower (boiler),9809.5,watts
horsepower (metric),735.4988,watts
horsepower (electric),746,watts
horsepower,see tables,cc and cu.in. (approx)
horsepower (UK),745.7,watts
horsepower (water),746.043,watts
horsepower-hrs,2547,Btu
horsepower-hrs,26800000000000,ergs
horsepower-hrs,1980000,foot-lbs
horsepower-hrs,641190,gram-calories
horsepower-hrs,2684000,joules
horsepower-hrs,641.1,kg-calories
horsepower-hrs,273700,kg-metres
horsepower-hrs,0.7457,kilowatt-hrs
hours (mean solar),0.04166667,days (more on time)
hours (mean solar),0.005952381,weeks
hundredweights (cwt) (long),112,pounds (lbs)
hundredweights (long),0.05,tons (long)
hundredweights (short),1600,ounces (avoirdupois)
hundredweights (short),100,pounds (lbs)
hundredweights (short),0.0453592,tonnes (metric)
hundredweights (short),0.0446429,tons (long)
imperial measurements,see page,"time, money, units, etc."
"inches, in, ins. and fractions",convert here,"metres, cm, mm"
inches,2.54,centimetres
inches,0.08333333,feet
inches,0.0254,metres
inches,1.578E-05,miles
inches,25.4,millimetres
inches,1000,mils
inches,0.027777778,yards
inches of mercury (at 32deg.F),3386.389,pascal
inches of mercury,0.03342,atmospheres
inches of mercury,1.133,feet of water
inches of mercury,0.03453,kgs/sq. cm
inches of mercury,345.3,kgs/sq. metre
inches of mercury,70.73,pounds/sq. ft.
inches of mercury,0.4912,pounds/sq. in.
inches of water (at 4ºC),0.002458,atmospheres
inches of water (at 4ºC),0.07355,inches of mercury
inches of water (at 4ºC),0.00254,kgs/sq. cm
inches of water (at 4ºC),0.5781,ounces/sq. in
inches of water (at 4ºC),5.204,pounds/sq. ft
inches of water (at 4ºC),0.03613,pounds/sq. in
international ampere,0.9998,ampere (absolute)
international volt,1.59E-19,joules (absolute)
international volt,96540,joules
iron (shoes),0.00053,metre
joules,0.000948,Btu
joules,10000000,ergs
joules,0.7376,foot-pounds
joules,0.0002389,kg-calories
joules,0.102,kg-metres
joules,0.0002778,watt-hrs
joules/cm,10200,grams
joules/cm,10000000,dynes
joules/cm,100,joules/metre (newton)
joules,723.3,poundals
joules,22.48,pounds
"k , k's or klicks (slang)",- see -,kilometres (km)
kayser,100,reciprocal metre
kelvin,t/ºC=T/K-273.15,degree Celsius
kilos (slang),- see -,kilograms
kilograms (kg),980665,dynes
kilograms,1000,grams
kilograms,0.09807,joules/cm
kilograms,9.807,joules/metre (newtons)
kilograms,70.93,poundals
kilograms,2.2046,pounds
kilograms,0.000984,tons (long)
kilograms,0.0011,tons (short)
kilograms/cu metre,0.001,grams/cu cm
kilograms/cu metre,0.06243,pound/cu ft
kilograms/cu metre,3.61E-05,pounds/cu in
kilograms/cu metre,3.41E-10,pounds/mil-foot
kilograms/meter,0.672,pounds/ft
kilograms/sq cm,980665,dynes
kilograms/sq cm,0.9678,atmospheres
kilograms/sq cm,32.81,feet of water
kilograms/sq cm,28.96,inches of mercury
kilograms/sq cm,2048,pounds/sq ft
kilograms/sq cm,14.22,pounds/sq in
kilograms/sq metre,9.68E-05,atmospheres
kilograms/sq metre,9.81E-05,bars
kilograms/cu metre,0.00328,feet of water
kilograms/cu metre,0.0029,inches of mercury
kilograms/cu metre,0.2048,pounds/sq ft
kilograms/cu metre,0.00142,pounds/sq in
kilograms/sq mm,1000000,kgs/sq metre
kilogram-calories,3.968,Btu
kilogram-calories,3088,foot-pounds
kilogram-calories,0.00156,hp-hrs
kilogram-calories,4186,joules
kilogram-calories,426.9,kg-metres
kilogram-calories,4.186,kilojoules
kilogram-calories,0.00116,kilowatt-hrs
kilogram-metres,0.00929,Btu
kilogram-metres,98000000,ergs
kilogram-metres,7.233,foot-pounds
kilogram-metres,9.804,joules
kilogram-metres,0.00234,kg-calories
kilogram-metres,2.72E-06,kilowatt-hrs
kilogram-force metres,9.80665,newton metres
kilolines,1000,maxwells
kilolitres,1000,litres
kilometres,6.68E-09,astronomical unit
kilometres,100000,centimetres
kilometres,3280.84,feet
kilometres,39400,inches
kilometres,1.06E-13,light year
kilometres,1000,metres
kilometres,0.6214,miles
kilometres,1000000,millimetres
kilometres,1094,yards
kilometres/hr,27.78,cms/sec
kilometres/hr,54.68,feet/min
kilometres/hr,0.9113,feet/sec
kilometres/hr,0.5396,knots
kilometres/hr,16.67,metres/min
kilometres/hr,0.6214,miles/hr
kilometres/hr/sec,27.78,cms/hr/sec
kilometres/hr/sec,0.9113,ft/sec/sec
kilometres/hr/sec,0.2778,metres/sec/sec
kilometres/hr/sec,0.6214,miles/hr/sec
kilopond (= kg force)(kp),9.80665,newton
kilowatts,56.92,Btu/min
kilowatts,44300,foot-lbs/min
kilowatts,737.6,foot-lbs/sec
kilowatts,1.341,horsepower
kilowatts,14.34,kg-calories/min
kilowatts,1000,watts
kilowatt-hrs,3413,Btu
kilowatt-hrs,36000000000000,ergs
kilowatt-hrs,2660000,foot-lbs
kilowatt-hrs,859850,gram-calories
kilowatt-hrs,1.341,horsepower-hrs
kilowatt-hrs,3600590,joules
kilowatt-hrs,860.5,kg-calories
kilowatt-hrs,367000,kg-metres
kilowatt-hrs,3.53,lbs of water evap. at 212ºF
kilowatt-hrs,22.75,lbs of water ^ from 62º-212ºF
kilowatt-hrs,4448.222,newton
knots,6080,feet/hr
knots,1.8532,kilometres/hr
knots,1,nautical miles/hr
knots,1.151,statute miles/hr ( mph )
knots,2027,yards/hr
knots,1.689,feet/sec
knots,0.5144444,metre per second ( m/s )
lambda,1E-09,cu. metre
lambert,3183.099,candela per sq. metre
langley,41840,joule per sq. metre
"lb, lbs (short for 'pounds')",0.4536,kilograms
lea (thread),see table,"ypp, nm, tex"
league,3,miles (approx.)
leaguer,0.5773534,cu. metre
light-year,63239.7,astronomical unit
light-year,5900000000000,miles
light-year,9460730000000,kilometres
ligne (buttons),0.000635,metre
lines/sq cm,1,gausses
lines/sq in,0.155,gauses
lines/sq in,1.55E-09,webers/sq cm
lines/sq in,1E-08,webers/sq in
lines/sq in,1.55E-05,webers/sq metre
links (engineer's),12,inches
links (surveyor's),7.92,inches
litres,0.02838,bushels (U.S. dry)
litres,1000,cu cm
litres,0.03531,cu feet
litres,61.02,cu inches
litres,0.001,cu metres
litres,0.00131,cu yards
litres,0.2642,gallons (U.S. liq.)
litres,2.113,pints (U.S. liq.)
litres,1.057,quarts (U.S. liq.)
litres/min,0.000589,cu ft/sec
litres/min,0.0044,gals/sec
lumen (lm),0.07958,spherical candle power
lumen,0.001496,watt
lumens/sq ft,1,foot-candles
lumens/sq ft,10.76,lumen/sq metre
lumens/sq ft,10.76391,lux (lx)
lusec,0.0001333224,pascal cu. metre per sec.
lux,0.0929,foot-candles
mass of bulk materials,see table,kg per cubic metre
maxwells,0.001,kilolines
maxwells,1E-08,webers
megalines,1000000,maxwells
megohms,1000000000000,microhms
megohms,1000000,ohms
metres,100,centimetres
metres (calc to ft. & ins.),3.281,feet
metres,39.37,inches
metres,0.001,kilometres
metres,0.00054,miles (nautical)
metres,0.000621,miles (statute)
metres,1000,millimetres
metres,1.094,yards
metres/min,1.667,cms/sec
metres/min,3.281,feet/min
metres/min,0.05468,feet/sec
metres/min,0.06,kms/hr
metres/min,0.03238,knots
metres/min,0.03728,miles/hr
metres/sec,196.8,feet/min
metres/sec,3.281,feet/sec
metres/sec,3.6,kilometres/hr
metres/sec,0.06,kilometres/min
metres/sec,2.237,miles/hr
metres/sec,0.03728,miles/min
metres/sec/sec,100,cms/sec/sec
metres/sec/sec,3.281,ft/sec/sec
metres/sec/sec,3.6,kms/hr/sec
metres/sec/sec,2.237,miles/hr/sec
metre-kilograms,98100000,cm-dynes
metre-kilograms,100000,cm-grams
metre-kilograms,7.233,pound-feet
microfarad,1E-06,farads
micrograms (see medical page),1E-06,grams
microhms,1E-12,megohms
microhms,1E-06,ohms
microlitres,1E-06,litres
microns,1E-06,metres
miles (nautical),6080.27,feet
miles (nautical),1.852,kilometres
miles (nautical),1852,metres
miles (nautical),1.1516,miles (statute)
miles (nautical),2027,yards
miles (statute),161000,centimetres
miles (statute),5280,feet
miles (statute),63400,inches
miles (statute),1.609,kilometres
miles (statute),1609,metres
miles (statute),0.8684,miles (nautical)
miles (statute),1760,yards
miles/hr,44.7,cm/sec
miles/hr,88,feet/min
miles/hr,1.467,feet/sec
miles/hr,1.609344,kms/hr
miles/hr,0.02682,kms/min
miles/hr,0.8684,knots
miles/hr,26.82,metres/min
miles/hr,0.1667,miles/min
miles/hr/sec,44.7,cms/sec/sec
miles/hr/sec,1.467,feet/sec/sec
miles/hr/sec,1.609,kms/hr/sec
miles/hr/sec,0.447,metres/sec/sec
miles/min,2682,cms/sec
miles/min,88,feet/sec
miles/min,1.609,kms/min
miles/min,0.8684,knots/min
miles/min,60,miles/hr
mil-feet,9.43E-06,cu inches
milliers,1000,kilograms
millmicrons,1E-09,metres
millibars,100,pascals
millibars,0.0295299,inches of mercury
milligrams,0.01543236,grains
milligrams,0.001,grams
milligrams/litre,1,parts/million
millihenries,0.001,henries
millilitres,0.001,litres
millimetres,0.1,centimetres
millimetres,0.00328,feet
millimetres,0.03937,inches
millimetres,1E-06,kilometres
millimetres,0.001,meters
millimetres,6.21E-07,miles
millimetres,39.37,mils
millimetres,0.00109,yards
million gals/day,1.54723,cu ft/sec
mils,0.00254,centimetres
mils,8.33E-05,feet
mils,0.001,inches
mils,0.0254,millimeters
mils,2.78E-05,yards
minims (British)( medical ),0.059192,cubic cm
minims (US fluid),0.061612,cubic cm
minutes (angles),0.01667,degrees
minutes (angles),0.000185,quadrants
minutes (angles),0.000291,radians
minutes (angles),60,seconds
morgen,8565.32,sq. metre
minutes ( more time units ),60,seconds
nautical mile (international),1852,metre
nel (thread),see table,"ypp, nm, tex"
nepers,8.686,decibels
newton,100000,dynes
newton,0.2248,pound force (lbf)
oersted,79.57747,ampere per metre
ohm (international),1.0005,ohm (absolute)
ohms,1E-06,megohms
ohms,1000000,microhms
ounces ( oz. or ozs.),16,drams
ounces ( mass ),437.5,grains
ounces,28.349523,grams
ounces,28349.523,milligrams
ounces,0.0625,pounds
ounces ( avoirdupois ),0.9115,ounces (troy)
ounces,2.79E-05,tons (long)(UK)
ounces,2.84E-05,tonnes (metric)
ounces - kitchen data,see tables,conversions
ounces (fluid),1.805,cu inches
ounces (fluid),0.02957,liters
ounces (troy),480,grains
ounces (troy),31.103481,grams
ounces (troy),1.09714,ounces (avoirdupois)
ounces (troy),20,pennyweights (troy)
ounces (troy),0.08333,pounds (troy)
ounces/sq inch,4309,dynes/sq cm
ounces/sq inch,0.0625,pounds/sq in
oz or ozs (short for ounce),28.349523,grams
"paper, envelopes",see table,metric/UK/US
parsec,19000000000000,miles
parsec,30856780000000,kilometres
ppm = parts per million,0.058419,grains/U.S. gal.
parts/million (see table),0.07016,grains/imperial gal
